model_name,model_family,artifact_path,eval_dataset,samples,accuracy,f1_macro,roc_auc,pr_auc,safe_precision,safe_recall,fraud_precision,fraud_recall,fraud_f1,fraud_recall_5fpr
mbert,text_dl,D:\Data Vidwan\Final Capstone Project\surakshaai\models_store\dl\mbert\final_model,data/processed/text_test.csv,2912.0,0.9776785714285714,0.9772203618289421,0.9959316896134514,0.9948386101523008,0.9854897218863361,0.9754637941352483,0.9674085850556439,0.9806607574536664,0.9739895958383353,0.9871071716357775
distilbert,text_dl,D:\Data Vidwan\Final Capstone Project\surakshaai\models_store\dl\distilbert\final_model,data/processed/text_test.csv,2912.0,0.9759615384615384,0.9754607371794872,0.997171737045326,0.9964851470556331,0.9831019915509958,0.9748653500897666,0.9665338645418327,0.9774375503626108,0.9719551282051282,0.9903303787268332
MuRIL,text_dl,D:\Data Vidwan\Final Capstone Project\surakshaai\models_store\dl\MuRIL\final_model,data/processed/text_test.csv,2912.0,0.9745879120879121,0.9740374902650227,0.9943388929315609,0.9866438110694943,0.9795795795795795,0.9760622381807301,0.9679230152365678,0.9726027397260274,0.9702572347266881,0.984689766317486
best_text_ml,text_ml,D:\Data Vidwan\Final Capstone Project\surakshaai\models_store\ml\best_text_ml.pkl,data/processed/text_test.csv,2912.0,0.9697802197802198,0.969125664098946,0.9950648860906848,0.9933213336502656,0.9753753753753753,0.9718731298623579,0.9623095429029671,0.9669621273166801,0.9646302250803859,0.9798549556809025
xgboost_text,text_ml,D:\Data Vidwan\Final Capstone Project\surakshaai\models_store\ml\xgboost_text.pkl,data/processed/text_test.csv,2912.0,0.9697802197802198,0.969125664098946,0.9950648860906848,0.9933213336502656,0.9753753753753753,0.9718731298623579,0.9623095429029671,0.9669621273166801,0.9646302250803859,0.9798549556809025
random_forest,text_ml,D:\Data Vidwan\Final Capstone Project\surakshaai\models_store\ml\random_forest.pkl,data/processed/text_test.csv,2912.0,0.9543269230769231,0.9532844686804288,0.990269135863194,0.9871911976816873,0.9588305489260143,0.9616995810891682,0.948220064724919,0.9443996776792909,0.9463060153411385,0.9613215149073328
logistic_regression,text_ml,D:\Data Vidwan\Final Capstone Project\surakshaai\models_store\ml\logistic_regression.pkl,data/processed/text_test.csv,2912.0,0.9505494505494505,0.9493832972413144,0.9856069625902548,0.9732867313471759,0.9536541889483066,0.9605026929982047,0.9462978030919447,0.9371474617244158,0.9417004048582996,0.9460112812248187
decision_tree,text_ml,D:\Data Vidwan\Final Capstone Project\surakshaai\models_store\ml\decision_tree.pkl,data/processed/text_test.csv,2912.0,0.9244505494505495,0.9229976306963291,0.9739042711351775,0.9610206857262202,0.9421084704448507,0.9251944943147815,0.9016522423288749,0.9234488315874295,0.9124203821656051,0.871071716357776
upi_model,upi_ml,D:\Data Vidwan\Final Capstone Project\surakshaai\models_store\ml\upi_model.pkl,synthetic UPI holdout,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
url_model,url_ml,D:\Data Vidwan\Final Capstone Project\surakshaai\models_store\ml\url_model.pkl,saved training holdout metrics,,0.899853346539823,0.886982039710118,0.961906919423171,0.9374695189558856,0.9097211245342667,0.9410541806332559,0.8788787827881639,0.8207898157694204,0.8488416563329354,0.7903760814021247
