,count,mean,std,min,25%,50%,75%,max
message_length,13626.0,1073.9423161602817,1868.945282830296,5.0,95.0,307.5,1291.5,19903.0
word_count,13626.0,190.02583296638778,359.3832544644917,1.0,17.0,50.0,224.0,6613.0
avg_word_length,13626.0,4.908132760898283,2.292177865696275,1.685,4.0,4.684,5.349,62.747
sentence_count,13626.0,11.057537061500073,21.47716156898053,1.0,2.0,4.0,13.0,646.0
caps_ratio,13626.0,0.07808285630412445,0.13653515686787235,0.0,0.0,0.045,0.087,1.0
digit_ratio,13626.0,0.023546748862468807,0.036381028144884385,0.0,0.0,0.01,0.031,0.516
exclamation_count,13626.0,0.982680170262733,6.985268443720617,0.0,0.0,0.0,0.0,395.0
question_count,13626.0,0.6530162923822105,2.777200240627578,0.0,0.0,0.0,1.0,122.0
url_count,13626.0,1.0828563041244679,5.04441524407829,0.0,0.0,0.0,1.0,141.0
phone_count,13626.0,0.08476442095992955,0.5905119591136498,0.0,0.0,0.0,0.0,37.0
has_otp_token,13626.0,0.004476735652429179,0.06676092859727743,0.0,0.0,0.0,0.0,1.0
has_amount_token,13626.0,0.12688976955819756,0.3328616637951939,0.0,0.0,0.0,0.0,1.0
has_account_token,13626.0,0.05937178922647879,0.236327905074188,0.0,0.0,0.0,0.0,1.0
has_upi_token,13626.0,0.14655805078526346,0.35367777514265575,0.0,0.0,0.0,0.0,1.0
has_card_token,13626.0,0.0014677821811243212,0.03828492347655522,0.0,0.0,0.0,0.0,1.0
has_ifsc_token,13626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_urgency_keyword,13626.0,0.19220607661822986,0.3940485962054837,0.0,0.0,0.0,0.0,1.0
has_money_keyword,13626.0,0.3501394393072068,0.47703093470480956,0.0,0.0,0.0,1.0,1.0
has_bank_name,13626.0,0.06678408924115661,0.2496568623171783,0.0,0.0,0.0,0.0,1.0
has_prize_keyword,13626.0,0.08623220314105387,0.28071692768799683,0.0,0.0,0.0,0.0,1.0
has_credential_request,13626.0,0.1516952884191986,0.35873844591182386,0.0,0.0,0.0,0.0,1.0
has_upfront_fee,13626.0,0.009613973286364303,0.09758198416198463,0.0,0.0,0.0,0.0,1.0
has_suspicious_domain,13626.0,0.0010274475267870247,0.032038526961780445,0.0,0.0,0.0,0.0,1.0
has_otp_request,13626.0,0.011375311903713489,0.10605064625453081,0.0,0.0,0.0,0.0,1.0
bank_with_suspicious_url,13626.0,0.016952884191985908,0.12909960133300713,0.0,0.0,0.0,0.0,1.0
urgency_intensity,13626.0,0.30082195802142964,0.5407389299749653,0.0,0.0,0.0,1.0,3.0
url_present,13626.0,0.2645677381476589,0.44111895285418184,0.0,0.0,0.0,1.0,1.0
email_present,13626.0,0.08711287244972846,0.28201073834745854,0.0,0.0,0.0,0.0,1.0
phone_present,13626.0,0.057830617936298255,0.23343143866094218,0.0,0.0,0.0,0.0,1.0
